SN,Trimester 1/4/7/10 & PhD 4/7,Div.,Discp,Course code with sections,Course Title,OAA Remarks,"Year 1
 2025-29
 T1/2/3","Year 2
 2024-28
 T4/5/6","Year 3
 2023-27
 T7/8/9","Year 4
 2022-26
 T10/11/12",Phd 4,Phd 7,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,PHILXXX,New Course,,No,Yes,Yes,Yes,Yes,Yes,Required (under practice),4,Vivek Radhakrishnan,Required for Philosophy Minor,No,TBA,no,Course details TBA
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,PHIL312|POLT312|HIST312,Freedom,,No,No,Yes,Yes,No,No,Elective,4,Mukund Padmanabhan,Elective for Philosophy Minor,No,"What does freedom mean? How does it go beyond the lay definition that it lies in the ability to act and speak without constraint? What are the implications of parsing this concept at the individual level or examining it in a relational or collective way? Philosophically, the concept of freedom plays out in the domain of metaphysics and ethics, with theories ranging from the libertarian, the compatibilist, and the deterministic. These transcendental ideas have had a subtle but definite impact on our constitutional guarantees for free speech on the one hand, and the restrictions placed on them on others. What implications does the information we have about inner processes have for the issue of agency? What are the grounds, if any, for coercing opinion and behaviour through pressure? What is the space for freedom of religion in a secular state? What is the distinction between positive and negative liberty and how are these related to notions of libertarianism, collectivism, autonomy and free will? Finally, where is freedom situated in discussions on fairness and justice and what are alternative notions of freedom, for example, as a form of self-realisation or as a model for non-domination. This inter-disciplinary course touches on philosophy, constitutional law, political theory, ethics, jurisprudence and media law. ",No,
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,POLT327/HIST327/SOCL327,Debating India: Key Deliberations in the Constituent Assembly of India,,No,Yes,Yes,Yes,,,Elective,3,S Gundimeda,,No,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,POLT309,Indian Politics II,,No,Yes,Yes,Yes,,,Required for Poltics,4,Shilpi Singh,,Yes,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,POLT204,Comparative Politics I,,No,Yes,Yes,Yes,,,Required,4,Proma Raychaudhury,,No,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,POLT416,The ‘Strongman’ and the ‘Fakir’: Understanding the Contemporary Global Populist Phenomenon,,No,Yes,Yes,Yes,,,Elective,4,Proma Raychaudhury,,No,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,POLT308,Global Politics II,,No,Yes,Yes,Yes,,,Required,4,Geeti Das,,Yes,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,POLT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,HSS,SOCL,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,ARTS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,LAA,LITT,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,BIOS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM206,Carbon based molecules,,No,Yes,Yes,Yes,No,No,Required,4,TBD,"Required for Chemistry major,minor",None,"This course will provide students with a comprehensive understanding of the fundamental principles and concepts of chemical bonding (Hybridization, MO theory) structure-property relationship (dipole moment, acidity, basicity) in organic molecules. This course aims to equip students with the problem-solving skills in Organic Chemistry. By successfully completing the course, students will have a fundamental background in Organic Chemistry and reaction mechanism.","Yes, CHEM306",None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM208,"Atoms, molecules & Elements",,No,Yes,Yes,Yes,No,No,Required,4,K. Vishwanathan,"Required for Chemistry major,minor",None,This course aims to introduce the students to quantum mechanics and demonstrate how the ideas of quantum mechanics help in understanding chemical phenomena and the layout of the periodic table. The role of quantum mechanics in explaining atomic structure and bonding will be established. This is a novel approach and is different from the historical development of the field.,None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM306,Making Carbon based molecules,,No,No,YES,YES,No,No,Required,4,Surajit Kayal,Required for chemistry major,CHEM206,"This course will introduce students to the methods of organic synthesis, common name reactions, and the mechanisms in organic chemistry. The focus of the course will be the organic mechanisms that will guide the students to perform stereo-specific organic synthesis. The major ingredients of the most common organic syntheses will be discussed.","Yes, CHEM413",None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM220,Symmetry and Group Theory,,No,YES,YES,YES,No,No,Required,2,Brijesh Mishra,Required for Chemistry Major,None,"This course will introduce students to the symmetry elements in molecules, concept of point group, character table, use of group theory in conceptualizing symmetry properties, application of group theory in understanding spectroscopy, chemical reactions and bonding phenomenon","Yes, CHEM412",None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM222,Physical Chemistry Lab,,No,YES,YES,YES,No,No,Required,2,Raghu Maligal Ganesh,Required for Chemistry Major,None,"This course will introduce students to the various advanced physicochemical experiments such as conductometry, pH metry, surface tension, viscosity, potentiometry and spectroscopy.",None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM424,Instrumental method of analysis,,No,No,No,YES,No,No,Required,2,Surajit Kayal,Required for Chemistry Major,None,"This course will introduce students to the various spectroscopic experiments based on absorption, emission and FTIR spectrosocpy",None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM320,Electrochemistry,,No,YES,YES,YES,No,No,Elective,4,Raghu,"Eelctive for Chemistry Major,minor",CHEM206,This course aims at introducing concepts of electrochemistry and its application in various basic and industrial processes.,None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM422,Advanced Spectroscopy,,No,No,No,YES,No,No,Elective,4,K. Vishwanathan,"Eelctive for Chemistry Major,minor",None,"Spectroscopic techniques play a very important role in science and technology. It is important to understand these methods to know their advantages, applicability and limitations. Spectroscopy plays a pivotal role in our understanding of matter, energy and their interaction; in addition, it also plays a very important role in materials characterization. A few non spectroscopic methods will also be discussed in this course. This course will cover the principles and application of the various experimental methods and basic instrumentation. Basic high school mathematics and an introductory course on quantum chemistry are prerequisites.",None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM411,Molecular modelling and Simulations: Biomolecules and rational drug design,,No,No,No,YES,No,No,Elective,4,Sudip Roy,"Eelctive for Chemistry Major,minor",None,"This course aims to expose students to various computational methods to study many problems of interest in chemical and biological sciences. Students taking this course will learn the principles of computer simulations, and applications proteins . This course will be helpful to students who wish to pursue advanced research in computational chemistry and materials science and those who wish to pursue research careers in the industry.",None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,xxxxx (CC approved),Introduction to two dimensional NMR spectrscopy,,No,No,No,YES,No,No,Elective,4,N Chandrakumar,"Eelctive for Chemistry Major,minor",None,,None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM326,Food Chemistry,,No,YES,YES,YES,No,No,Elective,4,Sathvika Talasila,"Eelctive for Chemistry Major,minor",None,,None,None
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,CHEM490,Advanced Chemical Research II (Capstone Project),,No,No,No,YES,No,No,,4,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,CHEM,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,COMP,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,DATA,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Climate Change,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Introduction to Sustainability,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Ecology and Conservation Biology,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Environmental Chemistry,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Environmental Law and Policy,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,New elective,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Environmental Justice,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,Remote Sensing,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,ENVS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH381,Problem Solving Strategies/Seminar,,,,,,,,,,Chudamani Pranesachar Anil Kumar,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH405,Measure and Integration Theory,,,,,,,,,,Shibi Vasudevan,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATHXXX,Fourier Analysis,,,,,,,,,,Shibi Vasudevan,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,	MATH328,Numerical Methods,,,,,,,,,,	Vivek Tewary,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH256,Writing and Communication in Mathematics,,,,,,,,,,	Vivek Tewary,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH231,Algebra 1,,,,,,,,,,Soumya Dey,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,	MATH341,Topology 1,,,,,,,,,,	Soumya Dey,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH213,Probability,,,,,,,,,,Debangana Mukherjee,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH202,Analysis 2,,,,,,,,,,Gangotryi Sorcar,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,"MATH345/MATH445
",Geometry of Curves and Surfaces,,,,,,,,,,Gangotryi Sorcar,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH346,Introductory Fourier analysis,,NO,NO,YES,YES,,,Elective,4,Shibi Vasudevan,,"Prerequisites include the basic notions of linear algebra (matrices, vector spaces and linear independence, linear transformations, eigenvalues and vectors and inner product spaces) and single and multivariable calculus.","This course is an introduction to the basic notions of Fourier analysis. Three classical topics will be explored: Fourier series, Fourier transforms and the discrete Fourier transform. The basic notions, tools and techniques of Fourier analysis are very important in both pure and applied mathematics (in areas such as signal, image and data processing, etc;) and in physics and computer science. This course is designed to be a gentle, concrete introduction to the subject, with a focus on basic examples and with an eye towards applications. 
Prerequisites include the basic notions of linear algebra (matrices, vector spaces and linear independence, linear transformations, eigenvalues and vectors and inner product spaces) and single and multivariable calculus.
It is hoped that this course will be accessible to 3rd year and 4th year students in mathematics, physics, computer science, and data science. ",,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH391,	Independent Research Study,Independent Research Study,,,,,,,,,With various faculty,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH490,Capstone Thesis Project,,,,,,,,,,With various faculty,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,MATH,MATH491,Independent Research Study,,,,,,,,,,With various faculty,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PHYS,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,Trimester 2/5/8/11 & PhD 5/8,SCI,PSYC,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,Div.,Discp,Course code with sections,Course Title,,"Year 1
 2024-28
 T1/2/3","Year 2
 2023-27
 T4/5/6","Year 3
 2022-26
 T7/8/9","Year 4
 2021-25
 T10/11/12",Phd 6,Phd 9,Course Type,Credits,Faculty Name,Required for,Prerequisites to enrol for this course,Description,Is this course prerequisites for any future course?,Remarks
,Trimester 3/6/9/12 & PhD 6/9,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,KCCS,KCCS,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,PP,PP,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,BUSI,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,ECON,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,HIST,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,PHIL206,"Self, State and Society: Philosophical Perspectives",,No,Yes,Yes,Yes,No,No,Required (under Society),4,Shriddha Shah,Required for Philosophy Minors,No,"There is an intricate dialectical relation between the concepts of self, state and society, and these relations are negotiated in every age, differently. It is important to understand these relations, as they provide us with the rationale for our understanding of ourselves, and our place in the social and political domains. These relations also determine the possibilities and limits of our own agency and actions vis-à-vis others. This course will introduce some of the fundamental philosophical presuppositions that allow this negotiation to take place in the modern age. The course is divided into three modules that discuss the constitution of the self, the state, and the social, in the contemporary modern western age. The objective of this discussion is to not only present a philosophical analysis of these concepts but to also open them up for critique and alternative readings, either from the classical tradition or in some cases contemporary perspectives. The course is not intended to be comprehensive in its approach to the readings presented, but rather the focus is to have an in-depth engagement with the philosophical presuppositions of the perspectives presented. Some of the fundamental issues taken up would be: How is the notion of the self, constituted and what relation does it bear to the understanding of the modern age, and the state? What are the fundamental presuppositions that characterise the foundations of the modern state? What are some of the theoretical alternatives to this understanding of the state? What is the role of the social, as presented through the institution of the family, in this matrix? What is the relation that the family bears to the state, and the self? ",No,
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,PHILXXX,New Course,,No,Yes,Yes,Yes,No,No,Elective,4,Shikha Rajpurohit,Elective for Philosophy Minor,No,TBA,No,Course details TBA
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,,,,,,,,,,,,,,,,,
,Trimester 3/6/9/12 & PhD 6/9,HSS,PHIL,,,,,,,,,,,,,,,,,
